Dataset,SubCategoria,MAE_CV,Pred_2040
Exportaciones Total Forma,SubCategoria_Granel,0.33695808438598984,4.17394908147408
Exportaciones Total Categoria,SubCategoria_Tequila 100%,2.043589650609362,3.7739148032523038
Produccion Total Tequila,SubCategoria_Tequila 100%,1.753262018121953,4.389591654179154
Consumo de Agave Total,SubCategoria_Tequila 100%,5.682757404092823,25.55736139971139
Exportaciones Total Forma,SubCategoria_Granel,0.34128087747478947,4.306184046509047
Exportaciones Total Categoria,SubCategoria_Tequila 100%,2.0425355750374976,3.753532137307138
Produccion Total Tequila,SubCategoria_Tequila 100%,1.768948363963908,4.477315674603173
Consumo de Agave Total,SubCategoria_Tequila 100%,5.668932474713084,25.841154154179147
Exportaciones Total Forma,SubCategoria_Granel,0.3412808774747895,4.306184046509047
Exportaciones Total Categoria,SubCategoria_Tequila 100%,2.0425355750374976,3.753532137307138
Produccion Total Tequila,SubCategoria_Tequila 100%,1.7689483639639085,4.477315674603173
Consumo de Agave Total,SubCategoria_Tequila 100%,5.668932474713084,25.841154154179147
